ep,reward,delay,energy,succ
63,21163.0462,1.2316,333.2241,5653
64,21442.1463,1.2270,333.5176,5704
65,21463.7640,1.2297,332.9930,5711
66,20933.2757,1.2345,332.8021,5610
67,20967.1627,1.2260,333.7149,5608
68,21119.9124,1.2304,333.0078,5643
69,21183.9786,1.2372,332.7302,5663
70,21009.1568,1.2334,333.0400,5624
71,21267.4576,1.2355,333.1379,5678
72,20991.8756,1.2308,333.7023,5618
73,21341.2231,1.2214,334.0068,5678
74,21842.9640,1.2289,333.1494,5786
75,21642.1745,1.2242,333.4426,5741
76,21218.0971,1.2279,333.3271,5660
77,21236.8735,1.2338,332.9536,5670
78,21463.5398,1.2231,333.3255,5704
79,21249.5755,1.2255,334.1051,5664
80,21281.5475,1.2348,333.0848,5680
81,21548.0971,1.2295,334.0532,5728
82,21491.4884,1.2312,332.7115,5718
83,20921.6215,1.2292,332.7974,5602
84,21396.5301,1.2311,332.7410,5699
85,21136.6208,1.2309,333.5577,5647
86,21349.6215,1.2266,333.4287,5685
87,21327.6545,1.2373,333.3798,5692
88,21162.8904,1.2382,333.5202,5660
89,21521.7612,1.2252,333.7165,5718
90,21061.7565,1.2385,333.2079,5640
91,21424.8695,1.2368,333.5610,5711
92,21027.8613,1.2419,333.6294,5637
93,20969.5757,1.2342,333.2869,5617
94,21250.1243,1.2391,332.2045,5678
95,21307.5836,1.2433,332.2246,5694
96,21126.1577,1.2282,333.2877,5642
97,21533.0326,1.2345,333.1689,5730
98,20785.3402,1.2415,333.2987,5588
99,21240.9890,1.2360,332.5644,5673
100,21689.4567,1.2207,334.3469,5747
101,21841.1240,1.2282,333.4337,5785
102,21154.6970,1.2321,333.6557,5652
103,21015.4605,1.2292,333.6627,5621
104,20352.8447,1.2470,332.1708,5507
105,21380.5537,1.2342,332.6901,5699
106,21228.9883,1.2286,333.5395,5663
107,21364.4149,1.2276,333.3179,5689
108,21670.6038,1.2188,333.8209,5741
109,20886.0097,1.2425,332.7997,5609
110,21224.8695,1.2371,332.8238,5671
111,21418.8955,1.2315,333.0941,5704
112,21344.1217,1.2218,334.1248,5679
113,21395.9007,1.2254,333.5929,5693
114,21164.6767,1.2378,333.4667,5660
115,21238.3547,1.2338,332.1698,5670
116,21092.4579,1.2273,332.5554,5634
117,20966.1703,1.2347,333.6803,5617
118,20938.8508,1.2362,333.2235,5613
119,21255.9951,1.2302,333.1659,5670
120,21440.1642,1.2237,333.5146,5700
121,21234.0180,1.2389,333.4114,5675
122,21267.5639,1.2309,332.8249,5673
123,21218.7684,1.2342,333.6611,5667
124,21123.6520,1.2314,333.6732,5645
125,21515.0569,1.2293,333.5612,5721
126,21671.1373,1.2283,333.1477,5751
127,21263.3471,1.2271,332.6039,5668
128,21094.2919,1.2439,332.1439,5652
129,21509.8862,1.2265,333.7564,5717
130,21473.7959,1.2231,333.0199,5706
131,21243.2094,1.2470,331.9355,5685
132,21325.9967,1.2311,333.2056,5685
133,21397.8687,1.2326,333.2162,5701
134,21405.9340,1.2330,333.0747,5703
135,21573.8714,1.2220,333.4995,5725
136,21285.1158,1.2454,333.0483,5692
137,20852.3287,1.2384,333.0612,5598
138,21163.0798,1.2431,332.6834,5665
139,21570.8939,1.2303,332.7108,5733
140,21560.6364,1.2283,333.5077,5729
141,21348.6807,1.2345,332.6770,5693
142,21024.4405,1.2324,333.1223,5626
143,21418.6696,1.2363,332.8389,5709
144,21602.4898,1.2270,333.5842,5736
145,21011.5143,1.2396,332.7079,5631
146,21232.7522,1.2326,333.4734,5668
147,21311.9858,1.2281,333.0837,5679
148,21176.7853,1.2263,333.1142,5650
149,21539.4885,1.2314,333.0202,5728
150,21104.6571,1.2323,333.2518,5642
151,21489.4694,1.2302,333.9146,5717
152,21060.5606,1.2246,333.3742,5625
153,21152.5401,1.2222,333.9279,5641
154,21199.2445,1.2411,332.2763,5670
155,20898.0041,1.2345,333.2877,5603
156,21295.2509,1.2399,332.6195,5688
157,20852.2513,1.2384,332.9674,5598
158,21081.7511,1.2291,333.2151,5634
159,21507.6220,1.2260,333.5747,5716
160,21360.5069,1.2377,333.2912,5699
161,21819.8172,1.2313,333.3015,5784
162,22011.5880,1.2244,333.1500,5815
163,21184.9101,1.2302,333.7121,5656
164,20833.4104,1.2384,332.3381,5594
165,20943.3246,1.2457,333.0164,5624
166,21104.4221,1.2304,333.4634,5640
167,20916.8647,1.2404,332.7632,5613
168,21176.8256,1.2368,332.5440,5661
169,21156.2060,1.2291,333.3818,5649
170,21149.7202,1.2343,332.5768,5653
171,21201.4599,1.2357,333.1683,5665
172,21324.4580,1.2323,333.3480,5686
173,21446.6311,1.2310,333.2747,5709
174,21130.9896,1.2378,332.8437,5653
175,21424.4603,1.2286,333.2507,5702
176,21331.3731,1.2357,333.1401,5691
177,21069.4975,1.2276,333.3211,5630
178,21279.5256,1.2274,333.8121,5672
179,21333.8701,1.2332,333.6627,5689
180,21245.2862,1.2311,333.6265,5669
181,21392.0746,1.2224,333.4802,5689
182,21262.7491,1.2309,332.6750,5672
183,20732.0757,1.2357,332.8480,5571
184,21137.9346,1.2347,332.4390,5651
185,21061.6463,1.2303,332.3984,5631
186,21075.7050,1.2456,332.0623,5650
187,21060.2042,1.2358,333.7410,5637
188,21196.5896,1.2318,333.4988,5660
189,21144.4566,1.2294,333.5989,5647
190,21526.9631,1.2300,333.2374,5724
191,20955.7280,1.2274,333.3680,5607
192,21753.6831,1.2267,333.5721,5766
193,21438.5761,1.2354,332.9940,5712
194,21428.2205,1.2270,333.0248,5701
195,21594.4282,1.2238,333.4388,5731
196,21520.9565,1.2294,332.7243,5722
197,21026.1635,1.2340,332.6648,5628
198,20707.4310,1.2377,332.2099,5568
199,21068.0799,1.2376,332.0380,5640
200,21009.4227,1.2448,332.1320,5636
201,20639.0724,1.2390,332.9134,5556
202,21343.0650,1.2261,333.0492,5683
203,20874.2064,1.2304,333.4711,5594
204,21480.6381,1.2303,332.9444,5715
205,21431.4610,1.2331,332.5817,5708
206,21820.1970,1.2219,333.1215,5774
207,20870.0039,1.2342,332.9941,5597
208,20842.9351,1.2413,332.2306,5599
209,20983.5926,1.2372,332.9738,5623
210,21360.7108,1.2253,334.1362,5686
211,21473.3490,1.2135,334.0546,5696
212,20931.0445,1.2445,332.3144,5620
213,21440.3729,1.2234,334.1021,5700
214,21148.1642,1.2317,332.8743,5650
215,21298.3513,1.2286,333.7454,5677
216,21261.5329,1.2337,333.4267,5675
217,21300.1003,1.2323,333.0440,5681
218,21482.2724,1.2317,333.3811,5717
219,20844.0329,1.2455,333.2419,5604
220,21318.5233,1.2268,333.4895,5679
221,21266.9127,1.2280,333.5454,5670
222,21656.2670,1.2262,333.6213,5746
223,21323.7150,1.2373,332.7695,5691
224,21147.3879,1.2346,333.0793,5653
225,20922.1892,1.2441,332.7492,5618
226,20916.6160,1.2395,332.9822,5612
227,21246.6541,1.2320,333.0760,5670
228,21311.6947,1.2292,333.0027,5680
229,20911.4782,1.2338,333.2098,5605
230,21491.6905,1.2270,333.9050,5714
231,21403.9570,1.2333,333.3328,5703
232,21613.5742,1.2266,334.0240,5738
233,20835.6158,1.2464,332.3186,5603
234,21053.6968,1.2269,333.1475,5626
235,21059.4864,1.2343,333.0152,5635
236,21212.0710,1.2421,333.2397,5674
237,21365.0992,1.2350,333.1797,5697
238,21216.5269,1.2368,332.5194,5669
239,20998.4739,1.2344,333.1061,5623
240,21111.7948,1.2423,332.9649,5654
241,21363.5618,1.2240,333.2434,5685
242,21089.0078,1.2382,332.8039,5645
243,21076.1353,1.2312,332.8671,5635
244,21058.9081,1.2353,333.0308,5636
245,21020.0157,1.2360,333.0884,5629
246,21079.6293,1.2369,333.5466,5642
247,21196.2945,1.2320,333.2267,5660
248,21285.8199,1.2417,332.2121,5688
249,21186.8488,1.2331,332.2484,5659
250,21114.9150,1.2343,332.5830,5646
251,20945.2418,1.2358,333.7591,5614
252,21409.1068,1.2316,332.7692,5702
253,20958.5229,1.2399,333.4010,5621
254,21242.4113,1.2288,333.6251,5666
255,21343.5851,1.2248,333.7705,5682
256,21232.8825,1.2336,332.9150,5669
257,21360.1198,1.2332,332.8652,5694
258,21296.1757,1.2281,333.6782,5676
259,21163.1798,1.2395,332.1111,5661
260,21287.1759,1.2336,333.6034,5680
261,21051.5153,1.2396,332.6682,5639
262,21531.8777,1.2261,333.6189,5721
263,21194.7759,1.2350,333.3474,5663
264,21087.8824,1.2346,332.8392,5641
265,21186.0480,1.2328,333.8024,5659
266,21220.4204,1.2358,333.5209,5669
267,21415.4852,1.2370,332.6393,5709
268,21220.9705,1.2369,332.8050,5670
269,21459.8200,1.2401,332.0786,5721
270,21287.3378,1.2346,333.1309,5681
271,20838.9788,1.2343,333.2964,5591
272,21873.8231,1.2201,333.5823,5783
273,20934.1012,1.2410,332.5096,5617
274,21268.5763,1.2306,333.2525,5673
275,21424.5642,1.2352,332.8261,5709
276,21138.8471,1.2365,332.3211,5653
277,21746.4201,1.2234,333.6425,5761
278,21490.8201,1.2245,333.3751,5711
279,21348.0747,1.2356,332.5978,5694
280,21025.8906,1.2331,333.0115,5627
281,21600.3371,1.2313,332.9704,5740
282,21388.4030,1.2373,332.9937,5704
283,21328.3686,1.2372,333.3955,5692
284,21382.3912,1.2300,332.8767,5695
285,21495.4960,1.2303,332.9622,5718
286,21103.5175,1.2401,332.7969,5650
287,20977.6728,1.2403,332.5993,5625
288,20997.8058,1.2327,332.9275,5621
289,21172.1584,1.2364,333.5796,5660
290,21336.1069,1.2347,333.4838,5691
291,21073.1197,1.2335,333.3981,5637
292,21549.0981,1.2276,333.6360,5726
293,21315.4855,1.2273,333.6910,5679
294,21347.0624,1.2328,333.2222,5691
295,21226.6925,1.2310,333.0498,5665
296,21204.6051,1.2437,332.7503,5674
297,20764.0338,1.2410,332.7258,5583
298,21299.7640,1.2276,333.1798,5676
299,21154.7466,1.2358,333.7837,5656
300,21171.6193,1.2347,333.2923,5658
301,21195.7343,1.2408,332.4094,5669
302,21176.9398,1.2271,333.6029,5651
